,N�  EXPEDIENTE,FECHA,HORA,CALLE,N�MERO,DISTRITO,TIPO ACCIDENTE,ESTADO METEREOL�GICO,TIPO VEH�CULO,TIPO PERSONA,RANGO DE EDAD,SEXO,LESIVIDAD*,Unnamed: 13,Country,City,FixedAddress,FullAddress,latitude,longitude
40,2019S010907,25/01/2019,4:00,CALL. GRAN VIA,78,CENTRO,Colisi�n fronto-lateral,Se desconoce,Bicicleta,Conductor,DE 21 A 24 A�OS,Hombre,5.0,,Spain,Madrid,CALLE GRAN VIA,CALLE GRAN VIA Madrid Spain,40.5015577,-3.2581925
41,2019S006032,26/01/2019,21:35,CALL. MARIA DE MOLINA,60,SALAMANCA,Alcance,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,7.0,,Spain,Madrid,CALLE MARIA DE MOLINA,CALLE MARIA DE MOLINA Madrid Spain,0.0,0.0
42,2019S006501,27/01/2019,16:15,CALL. ALCALA,44,CENTRO,Atropello a persona,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,2.0,,Spain,Madrid,CALLE ALCALA,CALLE ALCALA Madrid Spain,40.4652553,-3.2698528
43,2019S006501,27/01/2019,16:15,CALL. ALCALA,44,CENTRO,Atropello a persona,Despejado,Bicicleta,Peat�n,DE 25 A 29 A�OS,Mujer,14.0,,Spain,Madrid,CALLE ALCALA,CALLE ALCALA Madrid Spain,40.4652553,-3.2698528
44,2019S006478,28/01/2019,18:00,CALL. MENDEZ ALVARO / CALL. TITAN,-,ARGANZUELA,Ca�da,Despejado,Bicicleta,Conductor,DE 55 A 59 A�OS,Hombre,14.0,,Spain,Madrid,CALLE MENDEZ ALVARO,CALLE MENDEZ ALVARO Madrid Spain,40.3956027,-3.6785934
45,2019S013729,29/01/2019,16:26,PASEO. RECOLETOS,23,CENTRO,Ca�da,Lluvia d�bil,Bicicleta,Conductor,DE 45 A 49 A�OS,Hombre,2.0,,Spain,Madrid,PASEO RECOLETOS,PASEO RECOLETOS Madrid Spain,40.42417315,-3.68548726497414
46,2019S006655,30/01/2019,13:20,AVDA. CARABANCHEL ALTO,122,CARABANCHEL,Colisi�n frontal,Despejado,Bicicleta,Conductor,DE 10 A 14 A�OS,Mujer,1.0,,Spain,Madrid,AVENIDA CARABANCHEL ALTO,AVENIDA CARABANCHEL ALTO Madrid Spain,40.3719581,-3.7517618
47,2019S006649,30/01/2019,11:41,CALL. TOMASA RUIZ,1,CARABANCHEL,Choque contra obst�culo fijo,Despejado,Bicicleta,Conductor,DE 30 A 34 A�OS,Hombre,,,Spain,Madrid,CALLE TOMASA RUIZ,CALLE TOMASA RUIZ Madrid Spain,0.0,0.0
48,2019S007855,01/02/2019,13:30,CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO,-,RETIRO,Alcance,Despejado,Bicicleta,Conductor,DE 35 A 39 A�OS,Mujer,7.0,,Spain,Madrid,CALLE DOCTOR ESQUERDO,CALLE DOCTOR ESQUERDO Madrid Spain,40.4133646,-3.6707516
49,2019S008460,01/02/2019,1:40,CALL. SANTA ENGRACIA / CALL. RIOS ROSAS,-,CHAMBER�,Colisi�n fronto-lateral,Lluvia d�bil,Bicicleta,Conductor,DE 21 A 24 A�OS,Hombre,7.0,,Spain,Madrid,CALLE SANTA ENGRACIA,CALLE SANTA ENGRACIA Madrid Spain,0.0,0.0
