;N�  EXPEDIENTE;FECHA;HORA;CALLE;N�MERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
351;2019S023512;10/06/2019;21:42;AVDA. MIRAFLORES;54;MONCLOA-ARAVACA;Ca�da;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;6.0;;Spain;Madrid;AVENIDA MIRAFLORES;AVENIDA MIRAFLORES Madrid Spain;40.46588;-3.73132
352;2019S023517;10/06/2019;20:08;CALL. DOCTOR RAMON CASTROVIEJO;5;FUENCARRAL-EL PARDO;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Hombre;2.0;;Spain;Madrid;CALLE DOCTOR RAMON CASTROVIEJO;CALLE DOCTOR RAMON CASTROVIEJO Madrid Spain;40.47946;-3.71416
353;2019S023455;10/06/2019;9:45;CALL. SAN EPIFANIO;7;ARGANZUELA;Ca�da;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Mujer;;;Spain;Madrid;CALLE SAN EPIFANIO;CALLE SAN EPIFANIO Madrid Spain;40.40105;-3.72105
354;2019S023594;11/06/2019;19:55;C�ADA. REAL GALIANA;4;VILLA DE VALLECAS;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 A�OS;Hombre;1.0;;Spain;Madrid;CAÑADA REAL GALIANA;CAÑADA REAL GALIANA Madrid Spain;40.42028045654297;-3.7057700157165527
355;2019S023601;11/06/2019;19:38;CALL. GENERAL LACY / CALL. ANCORA;-;ARGANZUELA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;1.0;;Spain;Madrid;CALLE GENERAL LACY;CALLE GENERAL LACY Madrid Spain;40.40303;-3.69079
356;2019S023587;11/06/2019;15:07;CALL. MARQUESA DE TORRECILLA / CALL. MISTERIOS;-;CIUDAD LINEAL;Colisi�n frontal;Despejado;Bicicleta;Conductor;DE 40 A 44 A�OS;Mujer;7.0;;Spain;Madrid;CALLE MARQUESA DE TORRECILLA;CALLE MARQUESA DE TORRECILLA Madrid Spain;40.43864;-3.63978
357;2019S024318;12/06/2019;21:40;RONDA. SUR;129;PUENTE DE VALLECAS;Ca�da;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Mujer;6.0;;Spain;Madrid;RONDA. SUR;RONDA. SUR Madrid Spain;40.42028045654297;-3.7057700157165527
358;2019S023694;12/06/2019;19:40;CALL. SANTA ENGRACIA;141;CHAMBER�;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;;;Spain;Madrid;CALLE SANTA ENGRACIA;CALLE SANTA ENGRACIA Madrid Spain;40.43336;-3.69804
359;2019S023692;12/06/2019;18:30;CALL. IRUN / CALL. CADARSO;-;MONCLOA-ARAVACA;Ca�da;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;6.0;;Spain;Madrid;CALLE IRUN;CALLE IRUN Madrid Spain;40.4221;-3.71727
360;2019S023844;13/06/2019;22:16;CALL. JORGE JUAN / CALL. FERNAN GONZALEZ;-;SALAMANCA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 A�OS;Hombre;7.0;;Spain;Madrid;CALLE JORGE JUAN;CALLE JORGE JUAN Madrid Spain;40.42373;-3.68313
361;2019S023732;13/06/2019;21:35;CALL. JACOMETREZO;15;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DESCONOCIDA;;;;Spain;Madrid;CALLE JACOMETREZO;CALLE JACOMETREZO Madrid Spain;40.42021;-3.70704
362;2019S023732;13/06/2019;21:35;CALL. JACOMETREZO;15;CENTRO;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 0 A 5 A�OS;Mujer;2.0;;Spain;Madrid;CALLE JACOMETREZO;CALLE JACOMETREZO Madrid Spain;40.42021;-3.70704
363;2019S024149;13/06/2019;20:38;AVDA. MONASTERIO DE SILOS;90;FUENCARRAL-EL PARDO;Ca�da;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;2.0;;Spain;Madrid;AVENIDA MONASTERIO DE SILOS;AVENIDA MONASTERIO DE SILOS Madrid Spain;40.50351;-3.70613
364;2019S023734;13/06/2019;20:35;GTA. SANTUARIO DE TISCAR;0;FUENCARRAL-EL PARDO;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;2.0;;Spain;Madrid;GLORIETA SANTUARIO DE TISCAR;GLORIETA SANTUARIO DE TISCAR Madrid Spain;40.42028045654297;-3.7057700157165527
365;2019S023774;13/06/2019;10:50;CALL. MAQUEDA;66;LATINA;Otro;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE MAQUEDA;CALLE MAQUEDA Madrid Spain;40.38958;-3.76297
366;2019S023655;13/06/2019;9:20;PASEO. PRADO / CALL. ALCALA;-;RETIRO;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 A�OS;Hombre;7.0;;Spain;Madrid;PASEO PRADO;PASEO PRADO Madrid Spain;40.41429;-3.69406
367;2019S023943;14/06/2019;23:55;PASEO. VIRGEN DEL PUERTO;45;ARGANZUELA;Ca�da;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;7.0;;Spain;Madrid;PASEO VIRGEN DEL PUERTO;PASEO VIRGEN DEL PUERTO Madrid Spain;40.40672;-3.72197
368;2019S023993;14/06/2019;10:50;AUTOV. M-607, +01500E;-;FUENCARRAL-EL PARDO;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Mujer;5.0;;Spain;Madrid;AUTOVIA M-607, +01500E;AUTOVIA M-607, +01500E Madrid Spain;40.49053;-3.69824
369;2019S023993;14/06/2019;10:50;AUTOV. M-607, +01500E;-;FUENCARRAL-EL PARDO;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 15 A 17 A�OS;Mujer;7.0;;Spain;Madrid;AUTOVIA M-607, +01500E;AUTOVIA M-607, +01500E Madrid Spain;40.49053;-3.69824
370;2019S023766;14/06/2019;9:25;CALL. EMBAJADORES, 330  FRENTE ENTRADA CAJA M�GIA;-;PUENTE DE VALLECAS;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;2.0;;Spain;Madrid;CALLE EMBAJADORES, 330  FRENTE ENTRADA CAJA M�GIA;CALLE EMBAJADORES, 330  FRENTE ENTRADA CAJA M�GIA Madrid Spain;40.37078;-3.68052
371;2019S023770;14/06/2019;8:50;PLAZA. ELIPTICA;1;USERA;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;;;Spain;Madrid;PLAZA ELIPTICA;PLAZA ELIPTICA Madrid Spain;40.38465;-3.71846
372;2019S023783;14/06/2019;0:15;GTA. RUIZ JIMENEZ / CALL. SAN BERNARDO;-;CHAMBER�;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;1.0;;Spain;Madrid;GLORIETA RUIZ JIMENEZ;GLORIETA RUIZ JIMENEZ Madrid Spain;40.42028045654297;-3.7057700157165527
373;2019S023917;15/06/2019;16:40;PASEO. GENERAL MARTINEZ CAMPOS;53;CHAMBER�;Ca�da;Despejado;Bicicleta;Conductor;DE 35 A 39 A�OS;Hombre;7.0;;Spain;Madrid;PASEO GENERAL MARTINEZ CAMPOS;PASEO GENERAL MARTINEZ CAMPOS Madrid Spain;40.43506;-3.6954
374;2019S023869;15/06/2019;11:47;CALL. VILLAVICIOSA;36;LATINA;Ca�da;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Mujer;1.0;;Spain;Madrid;CALLE VILLAVICIOSA;CALLE VILLAVICIOSA Madrid Spain;40.39673;-3.77193
375;2019S023851;15/06/2019;3:55;CALL. RIOS ROSAS / CALL. PONZANO;-;CHAMBER�;Ca�da;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;7.0;;Spain;Madrid;CALLE RIOS ROSAS;CALLE RIOS ROSAS Madrid Spain;40.44182;-3.69693
376;2019S023979;16/06/2019;23:00;CALL. SEGOVIA / RONDA. SEGOVIA;-;CENTRO;Otro;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE SEGOVIA;CALLE SEGOVIA Madrid Spain;40.41389;-3.71493
377;2019S024340;17/06/2019;20:45;AVDA. BETANZOS;37;FUENCARRAL-EL PARDO;Alcance;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;;;Spain;Madrid;AVENIDA BETANZOS;AVENIDA BETANZOS Madrid Spain;40.47604;-3.71152
378;2019S024007;17/06/2019;10:40;CALL. BRAVO MURILLO;226;TETU�N;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;14.0;;Spain;Madrid;CALLE BRAVO MURILLO;CALLE BRAVO MURILLO Madrid Spain;40.46279;-3.69711
