;HORA;CALLE;NUMERO;LESIVIDAD*
302;16:47;AVDA. VIRGEN DEL CARMEN;1;14.0
303;16:47;AVDA. VIRGEN DEL CARMEN;1;7.0
304;16:47;AVDA. VIRGEN DEL CARMEN;1;7.0
305;21:00;AVDA. MONTE IGUELDO;98;7.0
306;19:13;AVDA. LOS ROSALES / CTRA. M-301;-;7.0
307;17:10;CALL. CONDE DE PE�ALVER;38;7.0
308;12:30;CALL. BAILEN;2;14.0
309;12:30;CALL. BAILEN;2;7.0
310;10:20;GTA. PUENTE DE SEGOVIA / PNTE. SEGOVIA;-;7.0
311;9:45;CALL. SANTA ENGRACIA;123;5.0
312;18:40;CALL. ATOCHA / CALL. SANTO TOMAS;-;2.0
313;17:40;CALL. PRINCIPE DE VERGARA;29;7.0
314;9:45;PASEO. ACACIAS;63;3.0
315;0:22;CALL. AYALA / CALL. VELAZQUEZ;-;7.0
316;17:35;CALL. SANTA POLA;6;7.0
317;17:21;CALL. PEDRO DE VALDIVIA;12;2.0
318;17:05;CALL. SANTA ENGRACIA;101;
319;17:05;CALL. SANTA ENGRACIA;101;7.0
320;23:00;AVDA. ASTURIAS;54;6.0
321;13:30;CALL. FUENTE CARRANTONA / CALL. BENJAMIN PALENCIA;-;1.0
322;13:00;PQUE. MADRID RIO, +00240E;-;7.0
323;12:55;SENDA CICLABLE-AV.ROSALES-CARRET.VILLAV. A VALLECA;-;7.0
324;12:55;SENDA CICLABLE-AV.ROSALES-CARRET.VILLAV. A VALLECA;-;7.0
325;7:55;CALL. JOSE MARIA PEREDA / CALL. SOR MARIA DE AGREDA;-;7.0
326;2:55;AVDA. ASTURIAS / CALL. VIA LIMITE;-;
327;23:05;CALL. PICO DE LA MALICIOSA;10;
328;23:05;CALL. PICO DE LA MALICIOSA;10;
329;19:25;CALL. VIA;50;7.0
330;12:00;PLAZA SAN FRANCISCO S/N;-;7.0
331;19:25;PLAZA. CIBELES / CALL. ALCALA;-;7.0
332;15:22;GTA. RUBEN DARIO;1;14.0
333;15:22;GTA. RUBEN DARIO;1;6.0
334;21:23;PASEO. ERMITA DEL SANTO;71;7.0
335;19:50;CALL. CASTILLO DE MADRIGAL DE LAS ALTAS TORRES;9;7.0
336;8:15;CALL. MONASTERIO DE SAMOS;18;2.0
337;19:25;CALL. SERRANO;1;2.0
338;15:21;PASEO. INFANTA ISABEL / AVDA. CIUDAD DE BARCELONA;-;2.0
339;15:15;CALL. GRAN VIA / CALL. ALCALA;-;
340;7:50;CALLE JOAQUIN TURINA-CALLE SITIO DE EL ESCORIAL;-;14.0
341;7:50;CALLE JOAQUIN TURINA-CALLE SITIO DE EL ESCORIAL;-;7.0
342;20:45;AVDA. POBLADOS;41;2.0
343;20:05;CALL. JAVIER DE MIGUEL;113;3.0
344;15:45;CALL. OCA / CALL. GENERAL RICARDOS;-;7.0
345;12:45;AVDA. RAFAEL ALBERTI / CALL. EXTREME�OS;-;1.0
346;8:15;CALL. PLEYADES;14;6.0
347;21:55;CALL. SANTA MARIA LA REAL DE NIEVA;9;1.0
348;21:50;CALL. ALFONSO XII / CALL. CLAUDIO MOYANO;-;7.0
349;14:20;CALL. ARROYO DEL MONTE / PLAZA. PRADERA DEL SALCERAL;-;6.0
350;21:40;GTA. BILBAO / CALL. FUENCARRAL;-;7.0
351;21:42;AVDA. MIRAFLORES;54;6.0
352;20:08;CALL. DOCTOR RAMON CASTROVIEJO;5;2.0
